Bulan,Kurs RP USD,IHSG,Uang Beredar,UMUM,IHK,Suku Bunga,Kredit
57,2023-10-01,15487.200195,6752.210938,8506544.06,2.43071522901574,104.28194900327964,6.0,10.45
58,2023-11-01,15748.700195,7080.741211,8574917.1,3.75128983869853,104.86065797370323,6.0,10.43
59,2023-12-01,15549.299805,7272.796875,8826531.0,3.2234629645903,105.04560482730989,6.0,10.4
60,2024-01-01,15383.099609,7207.940918,8721949.69,2.87005266615503,105.92313831416529,6.0,10.41
61,2024-02-01,15769.0,7316.11084,8739622.93,3.16040237950204,106.06111673700897,6.0,10.41
62,2024-03-01,15704.0,7288.812988,8888400.0,3.83109270666454,106.62511650415134,6.0,10.39
63,2024-04-01,16100.0,7113.152594989199,8927959.29,3.9301196680253216,106.81721121107535,6.25,10.38
64,2024-05-01,16083.944722222222,7118.843117065191,9022913.428617388,3.516092109708033,107.02200647519737,6.25,10.38
65,2024-06-01,16329.388888888889,6861.852880539138,9065748.759610143,3.33035566391309,106.87958958329133,6.25,10.38
66,2024-07-01,16320.0,7255.76,8983383.35,2.14,105.99812923019938,6.25,10.38
67,2024-08-01,15409.0,7670.73,8975511.86,2.5,105.99459636231057,6.25,10.37
68,2024-09-01,15138.0,7527.93,9047998.7,1.95,105.81,6.0,10.38
69,2024-10-01,15732.0,7574.02,9081690.58,1.84,105.84,6.0,10.38
